CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
220907105,KELLER ISD,WHITLEY ROAD EL,3,INDEPENDENT,7600 WHITLEY RD,WATAUGA,76148-1211,18,69,41,29
220907106,KELLER ISD,HERITAGE ELEM.,3,INDEPENDENT,4001 THOMPSON RD,KELLER,76244,22,68,36,18
220907108,KELLER ISD,SHADY GROVE ELE,3,INDEPENDENT,1400 SARAH BROOKS DR,KELLER,76248-2006,4,83,69,47
220907109,KELLER ISD,PARK GLEN ELEM.,3,INDEPENDENT,5100 GLEN CANYON RD,FORT WORTH,76137-4102,17,107,74,30
220907110,KELLER ISD,WILLIS LANE ELE,3,INDEPENDENT,1620 WILLIS LN,KELLER,76248-3126,9,97,75,40
220907111,KELLER ISD,NORTH RIVERSIDE,3,INDEPENDENT,7900 N RIVERSIDE DR,FORT WORTH,76137,9,55,34,13
220907112,KELLER ISD,HIDDEN LAKES EL,3,INDEPENDENT,900 PRESTON LN,KELLER,76248-3447,6,78,64,39
220907113,KELLER ISD,LONE STAR ELEM.,3,INDEPENDENT,4647 SHIVER RD,KELLER,76244,18,140,103,54
220907116,KELLER ISD,BLUEBONNET ELEM,3,INDEPENDENT,7000 TEAL DR,FORT WORTH,76137,22,91,61,38
220907117,KELLER ISD,FREEDOM ELEM.,3,INDEPENDENT,5401 WALL-PRICE,KELLER,76244,18,96,55,30
220907118,KELLER ISD,BETTE PEROT ELE,3,INDEPENDENT,9345 GENERAL WORTH DR,KELLER,76244,12,124,104,67
220907119,KELLER ISD,WOODLAND SPRING,3,INDEPENDENT,12120 WOODLAND SPRINGS,KELLER,76244,23,95,71,39
220907120,KELLER ISD,LIBERTY ELEM.,3,INDEPENDENT,1101 MCDONWELL SCHOOL RD W,COLLEYVILLE,76034,7,77,61,42
220907121,KELLER ISD,INDEPENDENCE EL,3,INDEPENDENT,11773 BRAY BIRCH LN,KELLER,76244,11,100,68,35
220907122,KELLER ISD,FRIENDSHIP ELEM,3,INDEPENDENT,5400 SHIVER RD,KELLER,76244,22,81,52,28
220907124,KELLER ISD,EAGLE RIDGE ELE,3,INDEPENDENT,4600 ALTA VISTA RD,KELLER,76244,10,128,102,76
220907125,KELLER ISD,CAPROCK ELEM.,3,INDEPENDENT,12301 GREY TWIG DR,KELLER,76244,27,102,56,27
220907126,KELLER ISD,BASSWOOD ELEM.,3,INDEPENDENT,3100 CLAY MOUNTAIN TRAIL,FORT WORTH,76137,4,55,41,23
220907129,KELLER ISD,RIDGEVIEW ELEM.,3,INDEPENDENT,1601 MARSHALL RIDGE PKWY,KELLER,76248,17,133,101,59
220907130,KELLER ISD,SUNSET VALLEY E,3,INDEPENDENT,2032 CANCHIM ST,FORT WORTH,76131,7,89,56,31
220908101,MANSFIELD ISD,ALICE PONDER EL,3,INDEPENDENT,101 PLEASANT RIDGE DR,MANSFIELD,76063,16,90,62,45
220908103,MANSFIELD ISD,TARVER-RENDON E,3,INDEPENDENT,6065 RETTA MANSFIELD RD,BURLESON,76028-8795,8,119,74,42
220908105,MANSFIELD ISD,J.L. BOREN ELEM,3,INDEPENDENT,1401 COUNTRY CLUB DR,MANSFIELD,76063,9,94,69,34
220908106,MANSFIELD ISD,CHARLOTTE ANDER,3,INDEPENDENT,2122 W NATHAN LOWE RD,ARLINGTON,76017,7,74,51,33
220908107,MANSFIELD ISD,GLENN HARMON EL,3,INDEPENDENT,5700 PETRA DR,ARLINGTON,76017,26,75,33,12
220908109,MANSFIELD ISD,D.P. MORRIS ELE,3,INDEPENDENT,7900 TIN CUP DR,ARLINGTON,76001-9999,13,93,54,28
220908110,MANSFIELD ISD,WILLIE BROWN EL,3,INDEPENDENT,1860 CANNON DR,MANSFIELD,76063-1766,11,110,82,50
220908111,MANSFIELD ISD,KENNETH DAVIS E,3,INDEPENDENT,900 EDEN RD,ARLINGTON,76001,16,71,43,18
220908112,MANSFIELD ISD,IMOGENE GIDEON,3,INDEPENDENT,1201 MANSFIELD WEBB RD,ARLINGTON,76002,10,62,42,18
220908113,MANSFIELD ISD,ERMA NASH ELEM.,3,INDEPENDENT,1050 MAGNOLIA ST,MANSFIELD,76063,15,67,54,21
220908114,MANSFIELD ISD,ELIZABETH SMITH,3,INDEPENDENT,701 S HOLLAND RD,MANSFIELD,76063,13,112,76,48
220908115,MANSFIELD ISD,ROBERTA TIPPS E,3,INDEPENDENT,3001 N WALNUT CREEK,MANSFIELD,76063,17,98,77,48
220908116,MANSFIELD ISD,MARTHA REID ELE,3,INDEPENDENT,500 COUNTRY CLUB DR,ARLINGTON,76002,19,109,74,43
220908117,MANSFIELD ISD,THELMA JONES EL,3,INDEPENDENT,7650 S WATSON RD,ARLINGTON,76002,10,84,58,32
220908118,MANSFIELD ISD,MARY JO SHEPPAR,3,INDEPENDENT,1701 FM 1187,MANSFIELD,76063,8,80,56,38
220908119,MANSFIELD ISD,JANET BROCKETT,3,INDEPENDENT,810 DOVE MEADOWS DR,ARLINGTON,76002,18,103,68,34
220908120,MANSFIELD ISD,ANNA MAY DAULTO,3,INDEPENDENT,2607 N GRAND PENINSULA DR,GRAND PRAIRIE,75054,9,134,113,74
220908121,MANSFIELD ISD,CORA SPENCER EL,3,INDEPENDENT,3140 S CAMINO LAGOS,GRAND PRAIRIE,75054,12,129,90,47
220908122,MANSFIELD ISD,LOUISE CABANISS,3,INDEPENDENT,6080 MIRABELLA BLVD,GRAND PRAIRIE,75052,14,91,61,35
220908123,MANSFIELD ISD,CAROL HOLT ELEM,3,INDEPENDENT,7321 LEDBETTER RD,ARLINGTON,76001,19,59,34,21
220908124,MANSFIELD ISD,ANNETTE PERRY E,3,INDEPENDENT,1261 S MAIN ST,MANSFIELD,76063-1794,16,70,42,21
220908125,MANSFIELD ISD,JUDY MILLER ELE,3,INDEPENDENT,403 N HOLLAND RD,MANSFIELD,76063-1794,16,88,61,37
220908126,MANSFIELD ISD,NANCY NEAL ELEM,3,INDEPENDENT,280 NELSON WYATT RD,MANSFIELD,76063,8,76,54,30
220910101,LAKE WORTH ISD,EFFIE MORRIS EL,3,INDEPENDENT,3801 MERRITT DR,LAKE WORTH,76135-3505,24,47,23,13
220910103,LAKE WORTH ISD,MARINE CREEK EL,3,INDEPENDENT,4801 HUFFINES BLVD,FORT WORTH,76135-2547,42,49,17,6
220910104,LAKE WORTH ISD,MARILYN MILLER,3,INDEPENDENT,5250 ESTRELLA DR,FORT WORTH,76106,46,64,20,5
220912101,CROWLEY ISD,BESS RACE ELEM.,3,INDEPENDENT,537 S HTS DR,CROWLEY,76036-3197,26,67,35,20
220912102,CROWLEY ISD,SYCAMORE ELEM.,3,INDEPENDENT,1601 COUNTRY MANOR RD,FORT WORTH,76134-3631,17,78,50,27
220912103,CROWLEY ISD,DEER CREEK ELEM,3,INDEPENDENT,805 S CROWLEY RD,CROWLEY,76036-3699,24,67,44,22
220912104,CROWLEY ISD,MEADOWCREEK ELE,3,INDEPENDENT,2801 COUNTRY CREEK LN,FORT WORTH,76123-1215,26,65,39,22
220912105,CROWLEY ISD,JACKIE CARDEN E,3,INDEPENDENT,3701 GARDEN SPRINGS RD,FORT WORTH,76123-1943,23,69,34,16
220912106,CROWLEY ISD,PARKWAY ELEM.,3,INDEPENDENT,1320 W EVERMAN PKWY,FORT WORTH,76134-4950,33,64,31,18
220912107,CROWLEY ISD,OAKMONT ELEM.,3,INDEPENDENT,6651 OAKMONT TRL,FORT WORTH,76132-3043,20,77,43,24
220912108,CROWLEY ISD,DALLAS PARK ELE,3,INDEPENDENT,8700 VIRIDIAN LN,FORT WORTH,76123,37,138,74,37
220912109,CROWLEY ISD,J.A. HARGRAVE E,3,INDEPENDENT,9200 POYNTER ST,FORT WORTH,76123,31,70,34,16
220912110,CROWLEY ISD,SIDNEY H. POYNT,3,INDEPENDENT,521 ASHDALE RD,FORT WORTH,76140,21,66,34,21
220914102,KENNEDALE ISD,JAMES F. DELANE,3,INDEPENDENT,180 W KENNEDALE PKWY,KENNEDALE,76060,13,79,62,29
220914103,KENNEDALE ISD,R.F. PATTERSON,3,INDEPENDENT,6621 KELLY ELLIOTT RD,ARLINGTON,76001,17,64,37,17
220915102,AZLE ISD,EAGLE HEIGHTS E,3,INDEPENDENT,6505 LUCERNE DR,FORT WORTH,76135-9626,16,68,39,14
220915103,AZLE ISD,WALNUT CREEK EL,3,INDEPENDENT,500 STRIBLING DR,AZLE,76020-2598,16,94,52,28
220915105,AZLE ISD,LIBERTY ELEM.,3,INDEPENDENT,11450 LIBERTY SCHOOL RD,AZLE,76020-9699,6,69,45,20
220915106,AZLE ISD,SILVER CREEK EL,3,INDEPENDENT,10300 S F M 730,AZLE,76020-1728,17,111,66,40
220915108,AZLE ISD,CROSS TIMBERS E,3,INDEPENDENT,831 JACKSON TRL,AZLE,76020-2309,18,72,44,23
220916102,HURST-EULESS-BE,BELLAIRE ELEM.,3,INDEPENDENT,501 BELLAIRE DR,HURST,76053-7099,16,41,24,11
220916103,HURST-EULESS-BE,HARRISON LANE E,3,INDEPENDENT,1000 HARRISON LN,HURST,76053-5002,13,68,39,23
220916105,HURST-EULESS-BE,NORTH EULESS EL,3,INDEPENDENT,1101 DENTON DR,EULESS,76039-2799,14,99,63,34
220916106,HURST-EULESS-BE,OAKWOOD TERRACE,3,INDEPENDENT,700 RANGER RD,EULESS,76040-5199,7,29,16,10
220916107,HURST-EULESS-BE,SHADY OAKS ELEM,3,INDEPENDENT,1400 CAVENDER DR,HURST,76053-4004,5,29,21,13
220916108,HURST-EULESS-BE,SOUTH EULESS EL,3,INDEPENDENT,605 S MAIN ST,EULESS,76040-5354,15,72,51,24
220916110,HURST-EULESS-BE,STONEGATE ELEM.,3,INDEPENDENT,900 BEDFORD EULESS RD,BEDFORD,76022-6618,12,56,30,11
220916111,HURST-EULESS-BE,WEST HURST ELEM,3,INDEPENDENT,501 PRECINCT LINE RD,HURST,76053-5498,21,50,27,14
220916112,HURST-EULESS-BE,WILSHIRE ELEM.,3,INDEPENDENT,420 WILSHIRE DR,EULESS,76040-4199,20,72,43,17
220916113,HURST-EULESS-BE,DONNA PARK,3,INDEPENDENT,1125 SCOTT DR,HURST,76053-4213,20,43,24,9
220916114,HURST-EULESS-BE,MIDWAY PARK ELE,3,INDEPENDENT,409 N ECTOR DR,EULESS,76039-7599,11,83,58,25
220916115,HURST-EULESS-BE,HURST HILLS ELE,3,INDEPENDENT,525 BILLIE RUTH LN,HURST,76053-5499,24,61,39,17
220916116,HURST-EULESS-BE,BELL MANOR ELEM,3,INDEPENDENT,1300 WINCHESTER WAY,BEDFORD,76022-6898,28,71,49,19
220916117,HURST-EULESS-BE,SHADY BROOK ELE,3,INDEPENDENT,2601 SHADY BROOK DR,BEDFORD,76021-4417,17,72,45,24
220916118,HURST-EULESS-BE,LAKEWOOD ELEM.,3,INDEPENDENT,1600 DONLEY DR,EULESS,76039-2199,9,89,62,41
220916119,HURST-EULESS-BE,BEDFORD HEIGHTS,3,INDEPENDENT,1000 CUMMINGS DR,BEDFORD,76021-2364,9,82,64,41
220916121,HURST-EULESS-BE,SPRING GARDEN E,3,INDEPENDENT,2400 CUMMINGS RD,BEDFORD,76021-2666,11,61,35,15
220916122,HURST-EULESS-BE,MEADOW CREEK EL,3,INDEPENDENT,3001 HARWOOD,BEDFORD,76021-3705,14,100,77,48
220916123,HURST-EULESS-BE,RIVER TRAILS EL,3,INDEPENDENT,8850 ELBE TRL,FORT WORTH,76118,15,80,53,39
220916125,HURST-EULESS-BE,VIRIDIAN ELEM.,3,INDEPENDENT,4001 CASCADE SKY DR,ARLINGTON,76005,10,104,78,50
220917101,CASTLEBERRY ISD,A.V. CATO ELEM.,3,INDEPENDENT,4501 BARBARA RD,FORT WORTH,76114-2698,27,67,34,16
220917102,CASTLEBERRY ISD,CASTLEBERRY ELE,3,INDEPENDENT,1100 ROBERTS CUT-OFF,FORT WORTH,76114-2699,27,79,42,12
220917104,CASTLEBERRY ISD,JOY JAMES ELEM.,3,INDEPENDENT,5300 BUCHANAN ST,FORT WORTH,76114-1399,15,44,18,10
220918101,EAGLE MOUNTAIN-,L.A. GILILLAND,3,INDEPENDENT,701 WAGGOMAN RD,FORT WORTH,76131-1141,25,56,33,15
220918102,EAGLE MOUNTAIN-,EAGLE MOUNTAIN,3,INDEPENDENT,9700 MORRIS DIDO NEWARK RD,FORT WORTH,76179-4002,32,75,49,22
220918103,EAGLE MOUNTAIN-,SAGINAW ELEM.,3,INDEPENDENT,301 W MCLEROY BLVD,SAGINAW,76179-1516,18,29,9,2
220918104,EAGLE MOUNTAIN-,BRYSON ELEM.,3,INDEPENDENT,8601 OLD DECATUR RD,FORT WORTH,76179-4305,35,58,34,15
220918105,EAGLE MOUNTAIN-,ELKINS ELEM.,3,INDEPENDENT,7250 ELKINS SCHOOL RD,FORT WORTH,76179,10,62,32,11
220918106,EAGLE MOUNTAIN-,HIGH COUNTRY EL,3,INDEPENDENT,1301 HIGH COUNTRY TRL,FORT WORTH,76131,21,57,35,15
220918107,EAGLE MOUNTAIN-,REMINGTON POINT,3,INDEPENDENT,6000 OLD DECATUR RD,FORT WORTH,76179,13,64,35,18
220918108,EAGLE MOUNTAIN-,CHISHOLM RIDGE,3,INDEPENDENT,8301 RUNNING RIVER,FORT WORTH,76131,30,74,41,19
220918109,EAGLE MOUNTAIN-,GREENFIELD ELEM,3,INDEPENDENT,6020 TEN MILE BRIDGE RD,FORT WORTH,76135,24,91,57,35
220918110,EAGLE MOUNTAIN-,COMANCHE SPRING,3,INDEPENDENT,8100 COMANCHE SPRINGS DR,FORT WORTH,76131,28,98,49,20
220918111,EAGLE MOUNTAIN-,NORTHBROOK ELEM,3,INDEPENDENT,2500 CANTRELL SANSOM RD,FORT WORTH,76131,32,65,37,17
220918112,EAGLE MOUNTAIN-,LAKE POINTE ELE,3,INDEPENDENT,5501 PARK DR,FORT WORTH,76179,19,89,55,24
220918113,EAGLE MOUNTAIN-,PARKVIEW ELEM.,3,INDEPENDENT,6225 CRYSTAL LK DR,FORT WORTH,76179,18,71,40,15
220918114,EAGLE MOUNTAIN-,WILLOW CREEK EL,3,INDEPENDENT,1100 W MCLEROY BLVD,SAGINAW,76131,34,68,34,14
220918115,EAGLE MOUNTAIN-,DOZIER ELEM.,3,INDEPENDENT,6201 REDEAGLE CREEK DR,FORT WORTH,76179,22,99,58,28
220919101,CARROLL ISD,JACK D. JOHNSON,3,INDEPENDENT,1301 N CARROLL AVE,SOUTHLAKE,76092-9757,1,124,107,80
220919102,CARROLL ISD,CARROLL ELEM.,3,INDEPENDENT,1705 W CONTINENTAL BLVD,SOUTHLAKE,76092-9309,1,106,97,68
220919103,CARROLL ISD,WALNUT GROVE EL,3,INDEPENDENT,2520 N WHITE CHAPEL BLVD,SOUTHLAKE,76092-9405,2,162,148,108
220919104,CARROLL ISD,ROBERT H. ROCKE,3,INDEPENDENT,301 BYRON NELSON PKWY,SOUTHLAKE,76092-9405,3,90,77,58
220919107,CARROLL ISD,OLD UNION ELEM.,3,INDEPENDENT,1050 S CARROLL AVE,SOUTHLAKE,76092,1,78,75,55
220920101,WHITE SETTLEMEN,LIBERTY ELEM.,3,INDEPENDENT,7976 WHITNEY DR,WHITE SETTLEMENT,76108-2512,6,70,49,23
220920102,WHITE SETTLEMEN,NORTH ELEM.,3,INDEPENDENT,9850 LEGACY DR,WHITE SETTLEMENT,76108,15,98,54,27
220920103,WHITE SETTLEMEN,WEST ELEM.,3,INDEPENDENT,8901 WHITE SETTLEMENT RD,WHITE SETTLEMENT,76108-2023,22,50,23,6
220920104,WHITE SETTLEMEN,BLUE HAZE ELEM.,3,INDEPENDENT,601 BLUE HAZE DR,FORT WORTH,76108-4061,31,92,61,35
220920106,WHITE SETTLEMEN,FINE ARTS ACAD.,3,INDEPENDENT,8301 DOWNE DR,FORT WORTH,76108,1,44,33,18
221801005,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,2407-A SAM HOUSTON AVE,HUNTSVILLE,77340,16,27,11,3
221801011,TEXAS COLLEGE P,AMARILLO COLLEG,3,CHARTER,6000 S GEORGIA,AMARILLO,79119,0,34,25,13
221801014,TEXAS COLLEGE P,COPPELL CLASSIC,3,CHARTER,140 S HEARTZ RD,COPPELL,75019,11,55,35,16
221801022,TEXAS COLLEGE P,ISCHOOL VIRTUAL,3,CHARTER,1800 LAKEWAY DR,LEWISVILLE,75057,13,11,4,0
221801023,TEXAS COLLEGE P,CARROLLTON CLAS,3,CHARTER,2400 N JOSEY LN,CARROLLTON,75006,9,35,28,16
221801025,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,202 THOMASON ST,WILLIS,77378,7,13,4,2
221801026,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,3024 ANITA DR,GARLAND,75041,3,25,12,5
221801033,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,1501 S WHEELER ST,JASPER,75951,4,17,14,10
221801039,TEXAS COLLEGE P,CLAY CLASSICAL,3,CHARTER,3303 POTTERS HOUSE WAY,DALLAS,75236,11,14,5,2
221801043,TEXAS COLLEGE P,FOUNDERS CLASSI,3,CHARTER,1010 BELLAIRE BLVD,LEWISVILLE,75067,6,60,41,22
221801044,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,2110 S MCCOLL RD,EDINBURG,78539,2,19,12,6
221801045,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,1303 E HOUSTON AVE,CROCKETT,75835,5,17,7,3
221801046,TEXAS COLLEGE P,TYLER CLASSICAL,3,CHARTER,3405 E GRANDE BLVD,TYLER,75707,13,49,33,15
221801048,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,1504 E 51ST ST BLDG E,AUSTIN,78723,2,18,11,8
221801050,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,6565 RESEARCH FOREST DR,THE WOODLANDS,77381,12,31,14,7
221801052,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,10255 EASTEX FWY,BEAUMONT,77708,10,26,16,9
221801055,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,6109 FAIRMONT PKWY,PASADENA,77505,8,17,7,1
221801057,TEXAS COLLEGE P,VISTA ACAD. OF,3,CHARTER,901 WILSON RD,HUMBLE,77338,17,27,12,5
221801058,TEXAS COLLEGE P,FOUNDERS CLASSI,3,CHARTER,1303 LEANDER DR,LEANDER,78641,3,45,30,12
221801059,TEXAS COLLEGE P,RICHARDSON CLAS,3,CHARTER,2101 E RENNER RD,RICHARDSON,75082,0,12,4,1
221801060,TEXAS COLLEGE P,DENTON CLASSICA,3,CHARTER,4420 COUNTRY CLUB RD,DENTON,76210,12,27,17,5
221801061,TEXAS COLLEGE P,FOUNDERS CLASSI,3,CHARTER,790 WINDBELL CIR BLDG 1-11,MESQUITE,75149,33,22,10,4
221801062,TEXAS COLLEGE P,MAINLAND PREP.,3,CHARTER,319 NEWMAN RD,LA MARQUE,77568,11,40,21,12
221801063,TEXAS COLLEGE P,FOUNDERS CLASSI,3,CHARTER,500 PARKER SQUARE,FLOWER MOUND,75028,11,40,26,16
221801064,TEXAS COLLEGE P,CORINTH CLASSIC,3,CHARTER,3600 MEADOWVIEW DR,CORINTH,76210,7,59,42,21
221801065,TEXAS COLLEGE P,FALLBROOK ACAD.,3,CHARTER,12512 WALTERS RD,HOUSTON,77014,7,13,7,4
221801066,TEXAS COLLEGE P,FOUNDERS CLASSI,3,CHARTER,8453 E FM 1518 N,SCHERTZ,78154,9,42,30,16
221801067,TEXAS COLLEGE P,CLASSICAL ACAD.,3,CHARTER,4320 W ILLINOIS AVE STE A,MIDLAND,79073,10,25,12,3
221801068,TEXAS COLLEGE P,FOUNDERS CLASSI,3,CHARTER,10710 FRISCO ST,FRISCO,75034,9,66,49,34
221901102,ABILENE ISD,AUSTIN ELEM.,3,INDEPENDENT,2341 GREENBRIAR DR,ABILENE,79605-5623,19,81,47,28
221901103,ABILENE ISD,BONHAM ELEM.,3,INDEPENDENT,717 BUCCANEER DR,ABILENE,79605-2727,29,48,21,9
221901104,ABILENE ISD,BOWIE ELEM.,3,INDEPENDENT,2034 JEANETTE ST,ABILENE,79602,31,55,27,9
221901108,ABILENE ISD,DYESS ELEM.,3,INDEPENDENT,402 DELAWARE,ABILENE,79607-1100,10,64,51,22
221901112,ABILENE ISD,JACKSON ELEM.,3,INDEPENDENT,2650 S 32ND ST,ABILENE,79605-6923,21,80,35,22
221901113,ABILENE ISD,JOHNSTON ELEM.,3,INDEPENDENT,3633 N 14TH ST,ABILENE,79603-4534,27,77,40,15
221901116,ABILENE ISD,LEE ELEM.,3,INDEPENDENT,1026 N PIONEER DR,ABILENE,79603-4027,36,46,16,7
221901120,ABILENE ISD,REAGAN ELEM.,3,INDEPENDENT,5340 HARTFORD ST,ABILENE,79605-3522,25,37,15,8
221901121,ABILENE ISD,TAYLOR ELEM.,3,INDEPENDENT,916 E N 13TH ST,ABILENE,79601-3635,23,68,40,20
221901150,ABILENE ISD,WARD ELEM.,3,INDEPENDENT,3750 PAINT BRUSH,ABILENE,79606-2679,24,75,39,19
221901151,ABILENE ISD,THOMAS ELEM.,3,INDEPENDENT,1240 LAKESIDE DR,ABILENE,79602-4118,12,54,29,15
221901152,ABILENE ISD,ORTIZ ELEM.,3,INDEPENDENT,2550 VOGEL,ABILENE,79603-2233,45,62,26,9
221901153,ABILENE ISD,BASSETTI ELEM.,3,INDEPENDENT,5749 HWY 277 S,ABILENE,79606-1701,19,47,24,13
221901155,ABILENE ISD,MARTINEZ ELEM.,3,INDEPENDENT,1250 MERCHANT ST,ABILENE,79603,19,70,36,18
221904102,MERKEL ISD,MERKEL ELEM.,3,INDEPENDENT,1512 STH 5TH,MERKEL,79536-0430,14,53,27,10
221905001,TRENT ISD,TRENT INDEPENDE,3,INDEPENDENT,12821 E INTERSTATE 20,TRENT,79561-0105,3,13,9,3
221911101,JIM NED CISD,LAWN ELEM.,3,INDEPENDENT,318 AVE E,LAWN,79530-0118,2,43,27,10
221911102,JIM NED CISD,BUFFALO GAP ELE,3,INDEPENDENT,665 VINE ST,BUFFALO GAP,79508-0608,5,37,23,15
221912101,WYLIE ISD,WYLIE ELEM.,3,INDEPENDENT,7650 HARDWICK RD,ABILENE,79606,9,162,117,58
221912103,WYLIE ISD,WYLIE INTERMEDI,3,INDEPENDENT,3158 BELTWAY S,ABILENE,79606,14,161,110,61
222901001,TERRELL COUNTY,SANDERSON SCHOO,3,INDEPENDENT,310 N SECOND ST,SANDERSON,79848-0101,4,9,6,4
223901102,BROWNFIELD ISD,OAK GROVE ELEM.,3,INDEPENDENT,1000 CACTUS LN,BROWNFIELD,79316-2822,39,76,35,19
223902001,MEADOW ISD,MEADOW SCHOOL,3,INDEPENDENT,604-4TH ST,MEADOW,79345-9801,9,17,3,2
223904001,WELLMAN-UNION C,WELLMAN-UNION S,3,INDEPENDENT,501 TERRY AVE,WELLMAN,79378,3,16,11,6
224901001,THROCKMORTON CO,THROCKMORTON CO,3,INDEPENDENT,210 COLLEGE ST,THROCKMORTON,76483-5011,5,4,3,0
224902001,WOODSON ISD,WOODSON SCHOOL,3,INDEPENDENT,207 E HILL,WOODSON,76491-0287,3,8,2,0
225902101,MOUNT PLEASANT,FRANCES CORPREW,3,INDEPENDENT,909 SCHOOL ST,MOUNT PLEASANT,75455,14,65,40,18
225902102,MOUNT PLEASANT,ANNIE SIMS ELEM,3,INDEPENDENT,1801 E 1ST ST,MOUNT PLEASANT,75455,5,99,82,38
225902103,MOUNT PLEASANT,E.C. BRICE ELEM,3,INDEPENDENT,311 CEDAR ST,MOUNT PLEASANT,75455,18,68,44,23
225902104,MOUNT PLEASANT,VIVIAN FOWLER E,3,INDEPENDENT,503 N O'TYSON,MOUNT PLEASANT,75455,5,72,51,20
225906101,CHAPEL HILL ISD,CHAPEL HILL ELE,3,INDEPENDENT,1069 CR 4660,MOUNT PLEASANT,75455,13,37,19,6
225907101,HARTS BLUFF ISD,HARTS BLUFF ELE,3,INDEPENDENT,3506 FM 1402,MOUNT PLESANT,75455-9751,23,64,31,12
226801001,TEXAS LEADERSHI,TLC ACAD.,3,CHARTER,5687 MELROSE,SAN ANGELO,76901,27,86,49,25
226801002,TEXAS LEADERSHI,TEXAS LEADERSHI,3,CHARTER,3300 THOMAS AVE,MIDLAND,79703,34,31,10,4
226801003,TEXAS LEADERSHI,TEXAS LEADERSHI,3,CHARTER,2001 BROWN BLVD,ARLINGTON,76006,20,29,9,0
226801004,TEXAS LEADERSHI,TEXAS LEADERSHI,3,CHARTER,1840 N 8TH ST,ABILENE,79603,22,36,14,8
226901101,CHRISTOVAL ISD,CHRISTOVAL ELEM,3,INDEPENDENT,20000 RUDD ST,CHRISTOVAL,76935,2,35,21,3
226903101,SAN ANGELO ISD,ALTA LOMA ELEM.,3,INDEPENDENT,1700 N GARFIELD ST,SAN ANGELO,76901-1899,8,35,19,4
226903102,SAN ANGELO ISD,AUSTIN ELEM.,3,INDEPENDENT,700 N VAN BUREN ST,SAN ANGELO,76901-2530,36,40,17,8
226903103,SAN ANGELO ISD,BELAIRE ELEM.,3,INDEPENDENT,700 STEPHENS ST,SAN ANGELO,76905-8128,19,34,17,5
226903105,SAN ANGELO ISD,BOWIE ELEM.,3,INDEPENDENT,3700 FOREST TRL,SAN ANGELO,76901-6095,13,57,30,13
226903106,SAN ANGELO ISD,BRADFORD ELEM.,3,INDEPENDENT,2302 BRADFORD ST,SAN ANGELO,76903-2773,22,35,16,6
226903108,SAN ANGELO ISD,CROCKETT ELEM.,3,INDEPENDENT,2104 JOHNSON AVE,SAN ANGELO,76904-5439,15,48,32,14
226903110,SAN ANGELO ISD,FANNIN ELEM.,3,INDEPENDENT,1702 WILSON ST,SAN ANGELO,76901-1124,12,40,17,10
226903111,SAN ANGELO ISD,FORT CONCHO ELE,3,INDEPENDENT,310 E WASHINGTON DR,SAN ANGELO,76903-7098,9,71,59,34
226903112,SAN ANGELO ISD,GLENMORE ELEM.,3,INDEPENDENT,323 PENROSE ST,SAN ANGELO,76903-8639,7,56,34,19
226903113,SAN ANGELO ISD,GOLIAD ELEM.,3,INDEPENDENT,120 E 39TH ST,SAN ANGELO,76903-2107,31,55,23,13
226903114,SAN ANGELO ISD,HOLIMAN ELEM.,3,INDEPENDENT,1900 RICKS DR,SAN ANGELO,76905-4207,16,47,25,15
226903115,SAN ANGELO ISD,MCGILL ELEM.,3,INDEPENDENT,201 MILLSPAUGH ST,SAN ANGELO,76901-2871,12,32,23,8
226903116,SAN ANGELO ISD,REAGAN ELEM.,3,INDEPENDENT,1600 VOLNEY ST,SAN ANGELO,76903-3859,30,24,7,2
226903119,SAN ANGELO ISD,SAN JACINTO ELE,3,INDEPENDENT,800 SPAULDING ST,SAN ANGELO,76903-4998,21,18,6,1
226903120,SAN ANGELO ISD,SANTA RITA ELEM,3,INDEPENDENT,615 S MADISON ST,SAN ANGELO,76901-4461,6,59,38,21
226903122,SAN ANGELO ISD,BONHAM ELEM.,3,INDEPENDENT,4630 SOUTHLAND,SAN ANGELO,76904-4545,23,77,38,16
226903123,SAN ANGELO ISD,LAMAR ELEM.,3,INDEPENDENT,3444 SCHOOL HOUSE RD,SAN ANGELO,76904,26,77,39,15
226905101,WATER VALLEY IS,WATER VALLEY EL,3,INDEPENDENT,15575 ADAMS AVE,WATER VALLEY,76958-9998,1,26,17,8
226906101,WALL ISD,WALL ELEM.,3,INDEPENDENT,8065 LOOP 570,WALL,76957-0259,2,98,78,40
226907101,GRAPE CREEK ISD,GRAPE CREEK INT,3,INDEPENDENT,9633 GRAPE CREEK RD,SAN ANGELO,76901,39,54,24,10
