,Unnamed: 0,CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Full Address,Latitude,Longitude,Total Students,% Pass,Quadrant,random,university
2530,2563,101921110,TOMBALL ISD,ROSEHILL ELEM.,3,INDEPENDENT,17950 WALLER TOMBALL RD,TOMBALL,77377,10.0,87.0,58.0,37.0,"17950 WALLER TOMBALL RD TOMBALL,TX 77377",30.081944,-95.70381400000001,192.0,49.479166666666664,SE,3311,0
4096,4150,227901104,AUSTIN ISD,BECKER ELEM.,3,INDEPENDENT,906  W MILTON,AUSTIN,78704-3436,5.0,43.0,27.0,20.0,"906  W MILTON AUSTIN,TX 78704-3436",30.2503951,-97.759454,95.0,49.473684210526315,SE,1246,1
987,1002,57903116,CARROLLTON-FARM,FURNEAUX ELEM.,3,INDEPENDENT,3210 FURNEAUX RD,CARROLLTON,75007-3532,7.0,41.0,33.0,14.0,"3210 FURNEAUX RD CARROLLTON,TX 75007-3532",33.0059003,-96.8735512,95.0,49.473684210526315,NE,4794,1
694,705,43901114,ALLEN ISD,CARLENA CHANDLE,3,INDEPENDENT,1000 WATER OAK,ALLEN,75002,5.0,88.0,55.0,36.0,"1000 WATER OAK ALLEN,TX 75002",33.0811233,-96.621108,184.0,49.45652173913044,NE,487,1
2360,2393,101914101,KATY ISD,MAURICE L. WOLF,3,INDEPENDENT,502 ADDICKS-HOWELL RD,HOUSTON,77079-2309,8.0,38.0,29.0,16.0,"502 ADDICKS-HOWELL RD HOUSTON,TX 77079-2309",29.779513,-95.64221500000001,91.0,49.45054945054945,SE,4918,1
3026,3063,140908101,SUDAN ISD,SUDAN ELEM.,3,INDEPENDENT,107 W HWY 303,SUDAN,79371-0249,2.0,42.0,27.0,16.0,"107 W HWY 303 SUDAN,TX 79371-0249",34.0678644,-102.5243624,87.0,49.42528735632184,NW,2721,0
3702,3748,220901129,ARLINGTON ISD,BUTLER ELEM.,3,INDEPENDENT,2121 MARGARET DR,ARLINGTON,76012-1899,13.0,75.0,53.0,33.0,"2121 MARGARET DR ARLINGTON,TX 76012-1899",32.76930189999999,-97.11860920000001,174.0,49.42528735632184,NE,991,1
2755,2788,108911105,SHARYLAND ISD,RUBEN HINOJOSA,3,INDEPENDENT,4205 LOS INDIOS PKWY,MISSION,78572,4.0,40.0,28.0,15.0,"4205 LOS INDIOS PKWY MISSION,TX 78572",26.169505899999997,-98.2859193,87.0,49.42528735632184,SE,405,1
4015,4062,221912103,WYLIE ISD,WYLIE INTERMEDI,3,INDEPENDENT,3158 BELTWAY S,ABILENE,79606,14.0,161.0,110.0,61.0,"3158 BELTWAY S ABILENE,TX 79606",32.356628,-99.7621179,346.0,49.421965317919074,NW,723,1
1372,1390,61901109,DENTON ISD,WILSON ELEM.,3,INDEPENDENT,1306 E WINDSOR ST,DENTON,76209,10.0,75.0,53.0,30.0,"1306 E WINDSOR ST DENTON,TX 76209",33.2425064,-97.1137803,168.0,49.404761904761905,NE,4727,1
480,485,20905113,BRAZOSPORT ISD,GLADYS POLK ELE,3,INDEPENDENT,600 AUDUBON WOODS DR,RICHWOOD,77531,12.0,72.0,51.0,31.0,"600 AUDUBON WOODS DR RICHWOOD,TX 77531",29.063826799999998,-95.4127727,166.0,49.397590361445786,SE,2393,1
1805,1833,84901107,DICKINSON ISD,BAY COLONY ELEM,3,INDEPENDENT,101 BAY COLONY ELEMENTARY DR,DICKINSON,77539,17.0,109.0,79.0,44.0,"101 BAY COLONY ELEMENTARY DR DICKINSON,TX 77539",29.4541618,-95.0945546,249.0,49.397590361445786,SE,3904,1
4144,4198,227901159,AUSTIN ISD,GRAHAM ELEM.,3,INDEPENDENT,11211 TOM ADAMS DR,AUSTIN,78753-3315,9.0,74.0,56.0,25.0,"11211 TOM ADAMS DR AUSTIN,TX 78753-3315",30.372360999999998,-97.668859,164.0,49.390243902439025,SE,1592,1
1575,1600,71902131,EL PASO ISD,MILAM ELEM.,3,INDEPENDENT,5000 LUKE ST,EL PASO,79908-3240,14.0,110.0,75.0,46.0,"5000 LUKE ST EL PASO,TX 79908-3240",31.8211469,-106.38781090000002,245.0,49.38775510204081,NW,776,1
769,780,43908105,MELISSA ISD,NORTH CREEK ELE,3,INDEPENDENT,4401 CYPRESS DR,MELISSA,75454,15.0,107.0,85.0,34.0,"4401 CYPRESS DR MELISSA,TX 75454",33.308617,-96.5572493,241.0,49.37759336099585,NE,800,0
2182,2215,101912122,HOUSTON ISD,BURBANK ELEM.,3,INDEPENDENT,216 TIDWELL,HOUSTON,77022-2046,14.0,104.0,73.0,42.0,"216 TIDWELL HOUSTON,TX 77022-2046",29.844536100000003,-95.373176,233.0,49.35622317596567,SE,2725,1
607,617,31903111,HARLINGEN CISD,STUART PLACE EL,3,INDEPENDENT,6701 BUSINESS HWY 83,HARLINGEN,78550-3618,10.0,107.0,71.0,43.0,"6701 BUSINESS HWY 83 HARLINGEN,TX 78550-3618",26.2625297,-97.654811,231.0,49.35064935064935,SE,1229,1
3103,3141,152906101,LUBBOCK-COOPER,LUBBOCK-COOPER,3,INDEPENDENT,16410 LOOP 493,LUBBOCK,79423-9530,16.0,100.0,73.0,40.0,"16410 LOOP 493 LUBBOCK,TX 79423-9530",33.4460422,-101.84345490000001,229.0,49.34497816593886,NW,1052,1
1452,1473,61911121,NORTHWEST ISD,LIZZIE CURTIS E,3,INDEPENDENT,9640 BELLE PRAIRIE TRAIL,FORT WORTH,76131,11.0,66.0,46.0,29.0,"9640 BELLE PRAIRIE TRAIL FORT WORTH,TX 76131",32.9144997,-97.34132209999999,152.0,49.3421052631579,NE,2130,0
913,926,57803102,UPLIFT EDUCATIO,UPLIFT EDUCATIO,3,CHARTER,1401 S MACARTHUR BLVD,IRVING,75060,6.0,70.0,47.0,27.0,"1401 S MACARTHUR BLVD IRVING,TX 75060",32.799974600000006,-96.96000059999999,150.0,49.333333333333336,NE,2937,1
2190,2223,101912133,HOUSTON ISD,CORNELIUS ELEM.,3,INDEPENDENT,7475 WESTOVER ST,HOUSTON,77087-6113,14.0,99.0,70.0,40.0,"7475 WESTOVER ST HOUSTON,TX 77087-6113",29.6775108,-95.2943652,223.0,49.327354260089685,SE,3474,1
4465,4523,246913117,LEANDER ISD,WILLIAM J. WINK,3,INDEPENDENT,2100 POW WOW,LEANDER,78641,12.0,100.0,68.0,41.0,"2100 POW WOW LEANDER,TX 78641",30.538087400000002,-97.865953,221.0,49.321266968325794,SE,2976,1
1430,1451,61907101,AUBREY ISD,HL BROCKETT,3,INDEPENDENT,900 CHESTNUT ST,AUBREY,76227-9117,9.0,101.0,74.0,33.0,"900 CHESTNUT ST AUBREY,TX 76227-9117",33.2947734,-96.9862707,217.0,49.30875576036866,NE,3487,0
3279,3321,170902119,CONROE ISD,GIESINGER ELEM.,3,INDEPENDENT,2323 WHITE OAK BLVD,CONROE,77304-3560,24.0,120.0,88.0,52.0,"2323 WHITE OAK BLVD CONROE,TX 77304-3560",30.338126000000003,-95.492102,284.0,49.29577464788732,SE,3419,1
684,695,43901104,ALLEN ISD,GENE M. REED EL,3,INDEPENDENT,1200 RIVERCREST BLVD,ALLEN,75002-2053,10.0,62.0,46.0,24.0,"1200 RIVERCREST BLVD ALLEN,TX 75002-2053",33.1077788,-96.6426,142.0,49.29577464788732,NE,1927,1
3846,3893,220906105,GRAPEVINE-COLLE,TAYLOR ELEM.,3,INDEPENDENT,5300 POOL RD,COLLEYVILLE,76034-5090,3.0,68.0,45.0,24.0,"5300 POOL RD COLLEYVILLE,TX 76034-5090",32.8862739,-97.12626340000001,140.0,49.285714285714285,NE,379,1
1344,1361,57922106,COPPELL ISD,WILSON ELEM.,3,INDEPENDENT,200 S COPPELL RD,COPPELL,75019-2415,12.0,59.0,43.0,26.0,"200 S COPPELL RD COPPELL,TX 75019-2415",32.9646946,-97.00595290000001,140.0,49.285714285714285,NE,4354,1
3893,3940,220908121,MANSFIELD ISD,CORA SPENCER EL,3,INDEPENDENT,3140 S CAMINO LAGOS,GRAND PRAIRIE,75054,12.0,129.0,90.0,47.0,"3140 S CAMINO LAGOS GRAND PRAIRIE,TX 75054",32.581982,-97.055588,278.0,49.280575539568346,NE,1371,0
2546,2579,102902108,MARSHALL ISD,WILLIAM B. TRAV,3,INDEPENDENT,300 W CAROLANNE,MARSHALL,75672-7599,13.0,92.0,60.0,42.0,"300 W CAROLANNE MARSHALL,TX 75672-7599",32.516541700000005,-94.36859150000001,207.0,49.27536231884058,NE,942,1
1638,1664,71905132,YSLETA ISD,TIERRA DEL SOL,3,INDEPENDENT,1832 TOMMY AARON DR,EL PASO,79936,1.0,69.0,45.0,23.0,"1832 TOMMY AARON DR EL PASO,TX 79936",31.7669615,-106.308947,138.0,49.27536231884058,NW,1050,1
3149,3188,159901121,EAGLE PASS ISD,ARMANDO CERNA E,3,INDEPENDENT,2268 MONDRAGON RD,EAGLE PASS,78852,11.0,58.0,43.0,24.0,"2268 MONDRAGON RD EAGLE PASS,TX 78852",28.7262075,-100.47162220000001,136.0,49.26470588235294,SW,3568,1
1624,1650,71905116,YSLETA ISD,SAGELAND ELEM.,3,INDEPENDENT,7901 SANTA MONICA CT,EL PASO,79915,4.0,65.0,45.0,22.0,"7901 SANTA MONICA CT EL PASO,TX 79915",31.746192600000004,-106.34978229999999,136.0,49.26470588235294,NW,3396,1
3568,3611,200904101,WINTERS ISD,WINTERS ELEM.,3,INDEPENDENT,603 N HEIGHTS ST,WINTERS,79567-4003,7.0,27.0,19.0,14.0,"603 N HEIGHTS ST WINTERS,TX 79567-4003",31.9664147,-99.9599005,67.0,49.25373134328358,NW,2823,0
1758,1786,79907127,FORT BEND ISD,BARRINGTON PLAC,3,INDEPENDENT,2100 SQUIRE DOBBINS DR,SUGAR LAND,77478-1874,19.0,82.0,59.0,39.0,"2100 SQUIRE DOBBINS DR SUGAR LAND,TX 77478-1874",29.654123,-95.607763,199.0,49.246231155778894,SE,522,1
690,701,43901110,ALLEN ISD,BOLIN ELEM.,3,INDEPENDENT,5705 CHEYENNE DR,PARKER,75002,8.0,59.0,42.0,23.0,"5705 CHEYENNE DR PARKER,TX 75002",33.081074900000004,-96.63792420000001,132.0,49.24242424242424,NE,327,1
3749,3795,220902114,BIRDVILLE ISD,GRACE E. HARDEM,3,INDEPENDENT,6100 WHISPERING LN,WATAUGA,76148-2899,7.0,92.0,64.0,32.0,"6100 WHISPERING LN WATAUGA,TX 76148-2899",32.8631648,-97.24927220000001,195.0,49.23076923076923,NE,645,1
1233,1250,57910132,GRAND PRAIRIE I,ROBERT E. LEE E,3,INDEPENDENT,401 E GRAND PRAIRIE RD,GRAND PRAIRIE,75051,7.0,57.0,44.0,18.0,"401 E GRAND PRAIRIE RD GRAND PRAIRIE,TX 75051",32.7408614,-96.9986801,126.0,49.20634920634921,NE,3192,1
780,791,43910113,PLANO ISD,WEATHERFORD ELE,3,INDEPENDENT,2941 MOLLIMAR DR,PLANO,75075-6306,13.0,51.0,37.0,25.0,"2941 MOLLIMAR DR PLANO,TX 75075-6306",33.0223435,-96.7535812,126.0,49.20634920634921,NE,1285,1
3937,3984,220916123,HURST-EULESS-BE,RIVER TRAILS EL,3,INDEPENDENT,8850 ELBE TRL,FORT WORTH,76118,15.0,80.0,53.0,39.0,"8850 ELBE TRL FORT WORTH,TX 76118",32.797931899999995,-97.1868781,187.0,49.19786096256684,NE,749,1
864,876,46902110,COMAL ISD,ARLON R. SEAY E,3,INDEPENDENT,20911 HWY 46 W,SPRING BRANCH,78070-9999,6.0,57.0,40.0,21.0,"20911 HWY 46 W SPRING BRANCH,TX 78070-9999",29.7954793,-98.43393420000001,124.0,49.193548387096776,SE,4108,0
4165,4219,227901183,AUSTIN ISD,COWAN ELEM.,3,INDEPENDENT,2817 KENTISH DR,AUSTIN,78748,16.0,109.0,75.0,46.0,"2817 KENTISH DR AUSTIN,TX 78748",30.188688,-97.8334808,246.0,49.1869918699187,SE,187,1
3109,3147,152907104,FRENSHIP ISD,CRESTVIEW ELEM.,3,INDEPENDENT,6020 81ST ST,LUBBOCK,79424-0100,9.0,84.0,63.0,27.0,"6020 81ST ST LUBBOCK,TX 79424-0100",33.52125,-101.946001,183.0,49.18032786885246,NW,1691,1
3560,3603,199901114,ROCKWALL ISD,BILLIE STEVENSO,3,INDEPENDENT,636 STEVENSON DR,FATE,75087,13.0,80.0,60.0,30.0,"636 STEVENSON DR FATE,TX 75087",32.9480755,-96.3931197,183.0,49.18032786885246,NE,2399,0
1397,1418,61902112,LEWISVILLE ISD,FLOWER MOUND EL,3,INDEPENDENT,4101 CHURCHILL DR,FLOWER MOUND,75028-1527,4.0,58.0,39.0,21.0,"4101 CHURCHILL DR FLOWER MOUND,TX 75028-1527",33.043305100000005,-97.0765684,122.0,49.18032786885246,NE,2425,1
4391,4448,246801001,MERIDIAN WORLD,MERIDIAN WORLD,3,CHARTER,2555 N IH-35,ROUND ROCK,78664,17.0,131.0,92.0,51.0,"2555 N IH-35 ROUND ROCK,TX 78664",30.537546999999996,-97.69061490000001,291.0,49.14089347079038,SE,1477,1
1810,1838,84902106,GALVESTON ISD,OPPE ELEM.,3,INDEPENDENT,2915 81ST ST,GALVESTON,77554-1901,12.0,106.0,71.0,43.0,"2915 81ST ST GALVESTON,TX 77554-1901",29.263423,-94.8502284,232.0,49.13793103448276,SE,2808,1
3360,3402,175911042,RICE ISD,RICE INTERMEDIA,3,INDEPENDENT,1402 SW MCKINNEY ST,RICE,75155,4.0,55.0,36.0,21.0,"1402 SW MCKINNEY ST RICE,TX 75155",32.235102600000005,-96.4942584,116.0,49.13793103448276,NE,398,0
2658,2691,108904107,EDINBURG CISD,LEE ELEM.,3,INDEPENDENT,1215 W SPRAGUE ST,EDINBURG,78539,6.0,53.0,36.0,21.0,"1215 W SPRAGUE ST EDINBURG,TX 78539",26.296892200000002,-98.1762829,116.0,49.13793103448276,SE,2254,1
783,794,43910116,PLANO ISD,WELLS ELEM.,3,INDEPENDENT,3427 MISSION RIDGE RD,PLANO,75023-8114,16.0,72.0,52.0,33.0,"3427 MISSION RIDGE RD PLANO,TX 75023-8114",33.04476210000001,-96.75993840000001,173.0,49.13294797687861,NE,2492,1
2337,2370,101913106,HUMBLE ISD,BEAR BRANCH ELE,3,INDEPENDENT,3500 GARDEN LK,KINGWOOD,77339-1869,10.0,105.0,72.0,39.0,"3500 GARDEN LK KINGWOOD,TX 77339-1869",30.057247999999998,-95.203013,226.0,49.11504424778761,SE,4258,1
389,394,15915225,NORTHSIDE ISD,LIECK ELEM.,3,INDEPENDENT,12600 REID RANCH,SAN ANTONIO,78245,11.0,75.0,54.0,29.0,"12600 REID RANCH SAN ANTONIO,TX 78245",29.4251593,-98.74469520000001,169.0,49.112426035502956,SE,2422,1
2596,2629,107906104,MALAKOFF ISD,TOOL ELEM.,3,INDEPENDENT,1201 S TOOL DR,TOOL,75143,2.0,26.0,18.0,9.0,"1201 S TOOL DR TOOL,TX 75143",32.2766014,-96.1779106,55.0,49.09090909090909,NE,988,0
382,387,15915191,NORTHSIDE ISD,KUENTZ ELEM.,3,INDEPENDENT,12303 LESLIE RD,HELOTES,78023,14.0,96.0,74.0,32.0,"12303 LESLIE RD HELOTES,TX 78023",29.5588773,-98.6824935,216.0,49.074074074074076,SE,4046,1
253,257,15910101,NORTH EAST ISD,CASTLE HILLS EL,3,INDEPENDENT,200 LEMONWOOD,SAN ANTONIO,78213-2409,11.0,71.0,51.0,28.0,"200 LEMONWOOD SAN ANTONIO,TX 78213-2409",29.52109729999999,-98.5196624,161.0,49.06832298136646,SE,2336,1
78,80,14906109,KILLEEN ISD,PEEBLES ELEM.,3,INDEPENDENT,1800 N W S YOUNG DR,KILLEEN,76543-3139,5.0,76.0,51.0,27.0,"1800 N W S YOUNG DR KILLEEN,TX 76543-3139",31.128096399999997,-97.7061934,159.0,49.056603773584904,SE,2401,1
2726,2759,108909107,PHARR-SAN JUAN-,GERALDINE PALME,3,INDEPENDENT,1200 W HALL ACRES RD,PHARR,78577-5543,8.0,72.0,52.0,25.0,"1200 W HALL ACRES RD PHARR,TX 78577-5543",26.168937600000003,-98.2019146,157.0,49.044585987261144,SE,2221,1
3135,3174,158906102,VAN VLECK ISD,VAN VLECK ELEM.,3,INDEPENDENT,178 S 4TH ST,VAN VLECK,77482-0015,5.0,75.0,53.0,24.0,"178 S 4TH ST VAN VLECK,TX 77482-0015",29.016278200000002,-95.8880305,157.0,49.044585987261144,SE,4970,0
1771,1799,79907140,FORT BEND ISD,RITA DRABEK ELE,3,INDEPENDENT,11325 LAKE WOODBRIDGE DR,SUGAR LAND,77498-0954,16.0,117.0,81.0,47.0,"11325 LAKE WOODBRIDGE DR SUGAR LAND,TX 77498-0954",29.649534000000003,-95.643633,261.0,49.04214559386973,SE,3190,1
285,290,15910135,NORTH EAST ISD,HUEBNER ELEM.,3,INDEPENDENT,16311 HUEBNER RD,SAN ANTONIO,78248-1696,18.0,88.0,59.0,43.0,"16311 HUEBNER RD SAN ANTONIO,TX 78248-1696",29.587540999999998,-98.532065,208.0,49.03846153846154,SE,2613,1
4312,4369,240901111,LAREDO ISD,PIERCE ELEM.,3,INDEPENDENT,800 E EISTETTER,LAREDO,78041-9695,2.0,103.0,67.0,34.0,"800 E EISTETTER LAREDO,TX 78041-9695",27.535225899999997,-99.49005670000001,206.0,49.029126213592235,SW,17,1
1672,1698,71909121,SOCORRO ISD,LOMA VERDE,3,INDEPENDENT,12150 TED HOUGHTON,EL PASO,79936,7.0,97.0,70.0,30.0,"12150 TED HOUGHTON EL PASO,TX 79936",31.713721000000003,-106.28154409999999,204.0,49.01960784313726,NW,3293,1
3559,3602,199901113,ROCKWALL ISD,SHARON SHANNON,3,INDEPENDENT,3130 FONTANNA BLVD,ROCKWALL,75032,14.0,89.0,65.0,34.0,"3130 FONTANNA BLVD ROCKWALL,TX 75032",32.897255300000005,-96.41322650000001,202.0,49.00990099009901,NE,2285,1
3450,3493,184903106,WEATHERFORD ISD,AUSTIN ELEM.,3,INDEPENDENT,1776 TEXAS DR,WEATHERFORD,76086-0439,14.0,88.0,63.0,35.0,"1776 TEXAS DR WEATHERFORD,TX 76086-0439",32.7343544,-97.7834541,200.0,49.0,NE,1352,1
3112,3150,152907107,FRENSHIP ISD,BENNETT ELEM.,3,INDEPENDENT,101 DONALD PRESTON DR,WOLFFORTH,79382,8.0,93.0,61.0,36.0,"101 DONALD PRESTON DR WOLFFORTH,TX 79382",33.516942300000004,-102.004542,198.0,48.98989898989899,NW,2234,0
2881,2916,123905101,NEDERLAND ISD,HELENA PARK ELE,3,INDEPENDENT,2800 HELENA AVE,NEDERLAND,77627,14.0,110.0,78.0,41.0,"2800 HELENA AVE NEDERLAND,TX 77627",29.968192,-94.008204,243.0,48.97119341563786,SE,3024,1
1419,1440,61902134,LEWISVILLE ISD,TOM HICKS ELEM.,3,INDEPENDENT,3651 COMPASS DR,FRISCO,75034-8940,12.0,86.0,59.0,35.0,"3651 COMPASS DR FRISCO,TX 75034-8940",33.109590000000004,-96.8464978,192.0,48.958333333333336,NE,582,1
2666,2699,108904115,EDINBURG CISD,MONTE CRISTO EL,3,INDEPENDENT,4010 N DOOLITTLE RD,EDINBURG,78539,9.0,87.0,64.0,28.0,"4010 N DOOLITTLE RD EDINBURG,TX 78539",26.310539399999996,-98.12710340000001,188.0,48.93617021276596,SE,4798,1
4098,4152,227901106,AUSTIN ISD,BLANTON ELEM.,3,INDEPENDENT,5408 WESTMINSTER DR,AUSTIN,78723-3454,16.0,56.0,44.0,25.0,"5408 WESTMINSTER DR AUSTIN,TX 78723-3454",30.307052399999996,-97.6903814,141.0,48.93617021276596,SE,601,1
1221,1238,57910119,GRAND PRAIRIE I,LORENZO DE ZAVA,3,INDEPENDENT,3410 KIRBY CREEK DR,GRAND PRAIRIE,75052,26.0,117.0,85.0,52.0,"3410 KIRBY CREEK DR GRAND PRAIRIE,TX 75052",32.6886256,-97.0084106,280.0,48.92857142857143,NE,4811,1
3889,3936,220908117,MANSFIELD ISD,THELMA JONES EL,3,INDEPENDENT,7650 S WATSON RD,ARLINGTON,76002,10.0,84.0,58.0,32.0,"7650 S WATSON RD ARLINGTON,TX 76002",32.624637199999995,-97.0731222,184.0,48.91304347826087,NE,2991,1
3461,3504,184909101,BROCK ISD,BROCK INTERMEDI,3,INDEPENDENT,100 GRINDSTONE RD,BROCK,76087-9636,9.0,107.0,74.0,37.0,"100 GRINDSTONE RD BROCK,TX 76087-9636",32.6758637,-97.942482,227.0,48.89867841409691,NE,4307,0
3617,3661,212903101,LINDALE ISD,COLLEGE STREET,3,INDEPENDENT,106 N COLLEGE ST,LINDALE,75771-3233,15.0,147.0,98.0,57.0,"106 N COLLEGE ST LINDALE,TX 75771-3233",32.5161011,-95.4127851,317.0,48.89589905362776,NE,1869,1
3585,3629,205902102,GREGORY-PORTLAN,CLARK ELEM.,3,INDEPENDENT,2250 MEMORIAL PKWY,PORTLAND,78374-2099,16.0,76.0,56.0,32.0,"2250 MEMORIAL PKWY PORTLAND,TX 78374-2099",27.894738300000004,-97.317633,180.0,48.888888888888886,SE,2564,1
2690,2723,108906107,MCALLEN ISD,JACKSON ELEM.,3,INDEPENDENT,501 HARVEY,MCALLEN,78501,12.0,80.0,52.0,36.0,"501 HARVEY MCALLEN,TX 78501",26.226897499999996,-98.2200845,180.0,48.888888888888886,SE,1262,1
1635,1661,71905129,YSLETA ISD,GLEN COVE ELEM.,3,INDEPENDENT,10955 SAM SNEAD DR,EL PASO,79936,5.0,110.0,74.0,36.0,"10955 SAM SNEAD DR EL PASO,TX 79936",31.7772592,-106.3175916,225.0,48.888888888888886,NW,4117,1
980,995,57903106,CARROLLTON-FARM,STARK ELEM.,3,INDEPENDENT,12400 JOSEY LN,FARMERS BRANCH,75234-6419,7.0,84.0,58.0,29.0,"12400 JOSEY LN FARMERS BRANCH,TX 75234-6419",32.9170206,-96.88092579999999,178.0,48.87640449438202,NE,1768,1
101,103,14906136,KILLEEN ISD,SKIPCHA ELEM.,3,INDEPENDENT,515 PROSPECTOR TRL,HARKER HEIGHTS,76548-2408,19.0,138.0,99.0,51.0,"515 PROSPECTOR TRL HARKER HEIGHTS,TX 76548-2408",31.053635399999997,-97.66281490000001,307.0,48.85993485342019,SE,3655,1
1438,1459,61911107,NORTHWEST ISD,ROANOKE ELEM.,3,INDEPENDENT,1401 LANCELOT,ROANOKE,76262,17.0,94.0,71.0,35.0,"1401 LANCELOT ROANOKE,TX 76262",33.0197794,-97.2198677,217.0,48.8479262672811,NE,1604,1
403,408,15916109,JUDSON ISD,OLYMPIA ELEM.,3,INDEPENDENT,8439 ATHENIAN,UNIVERSAL CITY,78148-2601,8.0,58.0,45.0,18.0,"8439 ATHENIAN UNIVERSAL CITY,TX 78148-2601",29.568789000000002,-98.318096,129.0,48.83720930232558,SE,140,1
3991,4038,221801064,TEXAS COLLEGE P,CORINTH CLASSIC,3,CHARTER,3600 MEADOWVIEW DR,CORINTH,76210,7.0,59.0,42.0,21.0,"3600 MEADOWVIEW DR CORINTH,TX 76210",33.1385141,-97.0494241,129.0,48.83720930232558,NE,584,1
2717,2750,108908110,MISSION CISD,MIMS ELEM.,3,INDEPENDENT,200 E TWO MILE RD,MISSION,78574,16.0,72.0,50.0,34.0,"200 E TWO MILE RD MISSION,TX 78574",26.242763500000002,-98.3194524,172.0,48.83720930232558,SE,2990,1
3976,4023,221801043,TEXAS COLLEGE P,FOUNDERS CLASSI,3,CHARTER,1010 BELLAIRE BLVD,LEWISVILLE,75067,6.0,60.0,41.0,22.0,"1010 BELLAIRE BLVD LEWISVILLE,TX 75067",33.026323,-97.015282,129.0,48.83720930232558,NE,8,1
1597,1623,71902162,EL PASO ISD,GREEN ELEM.,3,INDEPENDENT,5430 BUCKLEY DR,EL PASO,79912-6421,4.0,40.0,28.0,14.0,"5430 BUCKLEY DR EL PASO,TX 79912-6421",31.8228,-106.512336,86.0,48.83720930232558,NW,4921,1
2990,3026,130901106,BOERNE ISD,VAN RAUB ELEM.,3,INDEPENDENT,8776 DIETZ ELKHORN RD,FAIR OAKS RANCH,78015,18.0,111.0,79.0,44.0,"8776 DIETZ ELKHORN RD FAIR OAKS RANCH,TX 78015",29.731062199999997,-98.6583584,252.0,48.80952380952381,SE,330,1
3636,3680,212905125,TYLER ISD,DR. BRYAN C. JA,3,INDEPENDENT,1900 BALSAM GAP LN,TYLER,75703,19.0,88.0,64.0,38.0,"1900 BALSAM GAP LN TYLER,TX 75703",32.2525344,-95.3387383,209.0,48.803827751196174,NE,1533,0
2302,2335,101912290,HOUSTON ISD,CRESPO ELEM.,3,INDEPENDENT,7500 OFFICE CITY DR,HOUSTON,77012-4115,11.0,74.0,50.0,31.0,"7500 OFFICE CITY DR HOUSTON,TX 77012-4115",29.699683899999997,-95.2879154,166.0,48.795180722891565,SE,87,1
1948,1979,100905105,HARDIN-JEFFERSO,SOUR LAKE ELEM.,3,INDEPENDENT,1055 HWY 326 S,SOUR LAKE,77659-0340,9.0,76.0,51.0,30.0,"1055 HWY 326 S SOUR LAKE,TX 77659-0340",30.1310945,-94.4027443,166.0,48.795180722891565,SE,3276,0
1203,1220,57909144,GARLAND ISD,KEELEY ELEM.,3,INDEPENDENT,8700 LIBERTY GROVE RD,ROWLETT,75089-2372,13.0,93.0,64.0,37.0,"8700 LIBERTY GROVE RD ROWLETT,TX 75089-2372",32.935553999999996,-96.5355615,207.0,48.792270531400966,NE,3800,1
2213,2246,101912169,HOUSTON ISD,HARVARD ELEM.,3,INDEPENDENT,810 HARVARD ST,HOUSTON,77007-1607,9.0,96.0,63.0,37.0,"810 HARVARD ST HOUSTON,TX 77007-1607",29.78623949999999,-95.3960002,205.0,48.78048780487805,SE,2091,1
3596,3640,207901101,SCHLEICHER ISD,ELDORADO ELEM.,3,INDEPENDENT,205 W FIELDS AVE,ELDORADO,76936-1247,3.0,18.0,14.0,6.0,"205 W FIELDS AVE ELDORADO,TX 76936-1247",30.8635882,-100.5998244,41.0,48.78048780487805,SW,1393,0
958,972,57845001,UME PREPARATORY,UME PREP. ACAD.,3,CHARTER,3838 SPUR 408,DALLAS,75236,4.0,38.0,26.0,14.0,"3838 SPUR 408 DALLAS,TX 75236",32.6940145,-96.9350251,82.0,48.78048780487805,NE,1102,1
474,479,20905102,BRAZOSPORT ISD,A.P. BEUTEL ELE,3,INDEPENDENT,300 LIGUSTRUM ST,LAKE JACKSON,77566-5899,9.0,117.0,81.0,39.0,"300 LIGUSTRUM ST LAKE JACKSON,TX 77566-5899",29.0340369,-95.4300411,246.0,48.78048780487805,SE,4709,1
2795,2828,108916103,VALLEY VIEW ISD,VALLEY VIEW NOR,3,INDEPENDENT,9701 S JACKSON RD,PHARR,78577-9705,5.0,57.0,41.0,18.0,"9701 S JACKSON RD PHARR,TX 78577-9705",26.1084419,-98.21712679999999,121.0,48.760330578512395,SE,3727,0
3548,3591,199901101,ROCKWALL ISD,VIRGINIA REINHA,3,INDEPENDENT,615 HIGHLAND DR,ROCKWALL,75087-2834,9.0,73.0,50.0,28.0,"615 HIGHLAND DR ROCKWALL,TX 75087-2834",32.9362374,-96.4694876,160.0,48.75,NE,70,1
290,295,15910140,NORTH EAST ISD,CANYON RIDGE EL,3,INDEPENDENT,20522 STONE OAK PKWY,SAN ANTONIO,78258-6927,17.0,85.0,61.0,36.0,"20522 STONE OAK PKWY SAN ANTONIO,TX 78258-6927",29.645531199999997,-98.4673608,199.0,48.743718592964825,SE,2657,1
